Tereka,0.84
Valen,32.38
Kamber,0.34
Torris,0.34
Nishant,0.34
Matthieu,1.36
Ulisses,0.85
Shaindy,1.03
Natan,0.11
Ellisa,0.06
Shean,0.91
Rosaline,1.87
Tywana,2.44
Terisa,0.27
Shamra,0.14
Kaven,0.07
Cleophus,0.03
Prudence,0.97
Tyriek,0.76
Breland,0.32
Stehanie,0.32
Shenia,1.06
Rivky,1.08
Tyrece,0.78
Lakendria,0.68
Dashawna,0.11
Faheem,0.06
Sophy,0.91
Shoshannah,1.52
Tynan,1.68
Daneen,0.2
Yehudah,0.1
Krislyn,0.05
Natlie,1.37
Matther,1.84
Tylan,1.2
Raya,0.98
Chadric,0.16
Tyna,0.08
Kalila,0.04
Gaurav,0.02
Sable,1.58
Saulo,0.73
Tyeesha,0.62
Doninique,0.25
Lissete,1.28
Sharrod,0.75
Tyeasha,3.29
Thierry,0.29
Naaman,0.29
Tong,1.23
Nahum,1.54
Moise,1.98
Tya,1.04
Charletta,0.22
Reshawn,0.11
Laniece,0.06
foreandr,9.19
Travers,1.84
Marvina,1.79
Bodie,0.33
Lajuana,0.33
Ellisha,0.33
Diara,0.33
Tramel,2.55
Naeemah,1.07
Brighid,0.29
Latish,0.29
Swati,1.22
Kiira,1.17
Mahala,0.78
Katalin,0.34
Johnhenry,0.34
Hezekiah,0.34
Rekeisha,1.12
Seng,1.98
Tomy,1.17
Kenon,0.83
Kemper,1.39
Jerame,0.09
Maryn,0.04
Jury,0.02
Chiquitta,0.01
Tocara,0.71
Tonimarie,0.34
Mariaguadalupe,0.34
Jenalyn,0.34
Samad,1.15
Timithy,1.03
Marvel,0.36
Tully,0.36
Rj,0.36
Elizabth,0.36
Laquinton,0.71
Tikisha,0.34
Neomi,0.78
Austyn,0.34
Ronetta,0.34
Meggen,0.84
Taquilla,0.78
Thi,0.69
Hoda,0.32
Constantina,0.32
Meyer,2.23
Terresa,1.09
Naveen,1.57
Averi,0.19
Tanica,0.09
Shatika,0.04
Merica,0.02
Kareena,0.01
Lanise,1.24
Terral,0.44
Zana,0.22
Yu,0.11
Ruperto,0.06
Ladarrius,0.72
